"site" "y" "tr" "me" "x1" "x2" "x3" "M1" "M2"
"38" 2 -34.32 0 0 -1.74 -1.86 1.62 0 0
"39" 2 12.89 1 0 1.18 -1.3 0.43 0 1
"40" 2 32.73 1 0 -0.13 -0.26 -0.65 0 0
"41" 3 -16.65 0 0 -0.45 -1.07 -1 1 0
"42" 3 23.19 1 0 -0.57 -0.99 -1.1 0 0
"43" 3 19.31 0 0 1.07 -0.53 -0.68 0 1
"44" 3 21.54 0 0 -2.48 0.02 0.26 1 0
"45" 3 9.45 1 0 -3.08 -1.05 0.24 0 0
"46" 3 25.11 1 0 -0.24 -1.56 -1.53 0 0
"47" 3 -2.9 0 0 -1.33 -0.75 -1.49 1 0
"48" 3 -2.63 0 0 -1.51 -0.43 0.2 0 0
"49" 3 28.42 0 1 -0.9 -0.48 0.96 0 0
"50" 3 24.63 0 1 -1.41 0.4 -0.64 0 1
"51" 3 -4.62 1 0 -2.42 -0.83 -0.09 0 1
"52" 3 26.33 1 0 -0.12 -0.24 -0.54 1 0
"53" 3 26.44 0 1 -0.58 0.53 -0.33 1 1
"54" 3 21.3 1 1 -0.77 1.53 -1.28 0 0
"55" 3 13.81 0 0 -1.11 -0.31 0.6 1 0
"56" 3 7.12 0 0 -0.88 1.76 -0.78 0 0
"57" 3 10.42 1 0 0.23 -0.63 1.13 1 0
"58" 3 11.2 1 0 -1.1 -1.02 -0.75 0 0
"59" 3 10.87 1 0 -1.45 -0.11 2.05 0 0
"60" 3 16.63 0 1 0.1 -0.93 -0.26 0 0
"61" 4 -19.96 1 0 -0.71 -0.71 1.33 0 0
"62" 4 -44.9 1 1 -1.95 0.04 -0.42 0 0
"63" 4 -35.15 1 1 -0.1 -2.1 1.59 1 0
"64" 4 -53.8 1 1 -1.21 -1.46 1.22 0 0
"65" 4 -17.1 1 1 1.49 -0.55 1.18 1 0
"66" 4 7.36 1 0 1.01 -0.57 1.92 0 1
"67" 4 -30.7 1 1 -1.15 1.58 1.83 0 0
"68" 4 -37.51 1 1 -0.81 0.62 0.82 0 0
"69" 4 -38.67 1 1 2.12 -0.73 3.26 1 0
"70" 4 -8.48 0 0 -0.03 -0.1 1.54 0 0
"71" 4 -36.18 0 1 -0.86 0.35 0.02 0 0
"72" 4 -42.16 1 1 1.45 0.09 -0.04 0 0
"73" 4 -32.19 1 1 0.38 -0.68 1.34 0 0
"74" 4 -7.24 0 0 0.52 0.11 -0.01 0 1
"75" 4 3.53 0 0 -1.15 -0.28 0.11 0 0
"76" 4 -32.12 1 1 -0.24 -0.22 0.74 1 1
"77" 4 -37.95 0 1 1.14 -0.74 -0.33 0 0
"78" 4 -8.93 0 1 -2.03 -0.48 1.82 1 1
"79" 4 -4.48 0 0 -0.15 0.9 -0.08 1 0
"80" 4 8.33 0 0 -0.83 -1.35 0.32 0 0
"81" 5 16.6 1 1 1.43 -0.55 0.98 0 0
"82" 5 37.36 1 1 1.53 -0.1 -1.43 0 0
"83" 5 30.71 1 1 1.7 -0.09 -0.21 0 0
"84" 5 43.75 0 1 0.97 1.13 1.87 0 1
"85" 5 19.36 0 1 2.3 -0.08 0.18 0 0
"86" 5 36.62 1 1 0.08 1.28 0.11 1 0
"87" 5 -0.11 1 0 0.05 -1.39 0.3 0 0
"88" 5 -19.81 0 0 -0.07 0 0.88 0 0
"89" 5 11.35 1 0 -0.62 0.13 -0.22 1 0
"90" 5 -1.97 0 0 -1.21 0.29 0.16 1 0
"91" 5 -2.74 1 0 1.74 -0.34 -0.49 1 0
"92" 5 6.22 1 0 -1.67 0.32 0.8 1 0
"93" 5 35.41 1 1 0.84 1.15 -0.28 0 0
"94" 5 33.09 1 1 -2.08 0.67 0.9 1 0
"95" 5 25.66 1 1 0.43 2.16 0.98 0 0
"96" 5 3.25 1 0 1.01 0.08 1.3 0 0
"97" 5 -3.44 0 0 0.4 0.05 -0.72 0 0
"98" 5 -5.34 0 0 0.37 -0.5 0.07 1 1
"99" 5 -16.22 0 0 0.34 0.58 -2.01 0 0
"100" 5 13.26 0 0 0.13 0.18 0.76 1 1
"101" 6 -12.47 1 1 -0.32 -1.78 -2.12 0 0
"102" 6 -5.18 1 0 -2.51 -0.9 0.19 0 0
"103" 6 -10.78 1 1 -1.12 -0.22 -0.4 0 0
"104" 6 -4.79 0 1 -0.21 0.67 0.13 0 0
"105" 6 -20.73 0 1 -0.37 0.58 -0.48 0 0
"106" 6 -9.65 0 0 -1.45 -0.84 -2.55 0 0
"107" 6 -5.99 0 0 -0.36 -0.07 0.55 1 1
"108" 6 -8.64 1 0 -0.35 -1.42 -3.57 1 1
"109" 6 7.83 1 0 -0.37 -1.74 -0.23 0 1
"110" 6 -4.35 1 0 1.65 2.34 -0.81 0 0
"111" 6 -14.16 0 0 -0.18 1.25 -0.13 0 0
"112" 6 -10.88 1 1 0.46 -1.13 0.73 0 0
"113" 6 4.1 0 1 -0.28 0.36 -0.38 0 0
"114" 6 -24.58 1 1 0.88 0.36 -0.03 0 0
"115" 6 0.67 0 0 0.09 0.67 -1.31 1 0
"116" 6 -13.39 0 0 -0.68 -0.1 -0.59 0 0
"117" 6 -0.83 0 0 0.91 1.3 0.32 0 0
"118" 6 -5.55 0 0 -0.25 0.18 -1.34 0 0
"119" 6 -0.58 0 1 0.27 0.09 0.48 0 0
"120" 6 -29.1 0 1 -0.05 0.3 -0.49 0 0
"121" 7 42.32 1 1 -0.34 0.09 0.5 0 0
"122" 7 18.78 0 1 1.49 0.03 0.21 0 0
"123" 7 1.67 0 0 0.84 -0.59 0.92 0 0
"124" 7 22.06 1 0 0.2 -0.26 0.55 0 0
"125" 7 7.83 0 0 1.11 -0.97 0.3 0 0
"126" 7 39.33 0 1 0.77 0.87 1 1 0
"127" 7 6.2 0 0 0.86 -0.65 0.44 0 0
"128" 7 29.66 1 1 0.13 -0.84 1.62 0 0
"129" 7 11.35 0 0 -0.69 0.3 0.56 0 0
"130" 7 45.61 1 1 -0.99 -0.27 -0.05 1 1
"131" 7 40.16 1 1 0.38 -0.46 0.79 1 1
"132" 7 5.11 0 0 1.34 -1.76 0.65 0 0
"133" 7 -5.45 0 0 0.12 -0.06 -0.52 0 0
"134" 7 42.24 1 1 0.05 -0.21 -1.04 0 0
"135" 7 41.54 1 1 1.92 0.45 0.47 0 0
"136" 7 -6.4 1 0 -1.22 -0.08 -0.38 0 0
"137" 7 41.9 1 1 2.45 -0.21 0.14 0 0
"138" 7 27.03 1 0 1.26 0.18 -0.95 0 0
"139" 7 29.43 0 1 2.24 -0.33 -0.71 1 0
"140" 7 5.5 0 0 0.95 -0.86 -0.38 1 0
"141" 8 5.15 1 0 -1.99 -0.6 -2.3 0 0
"142" 8 3.78 0 0 -0.09 -0.86 -1.53 0 0
"143" 8 15.01 1 0 -1.24 0.53 -0.34 0 0
"144" 8 6.78 1 1 2.22 -0.37 -0.78 1 0
"145" 8 7.02 1 1 2.18 -0.41 -1.56 0 0
"146" 8 9.75 1 1 -1.73 -0.44 -0.43 1 0
"147" 8 17.05 1 1 -0.29 3.53 1.66 0 0
"148" 8 5.18 1 1 1.19 0.52 1.23 1 0
"149" 8 16.89 0 0 -2.02 -1.22 0.77 0 0
"150" 8 14.57 0 0 -0.65 0.56 -0.52 0 0
"151" 8 11.17 0 0 0.02 0.13 1.04 1 0
"152" 8 3.52 0 1 -1.78 0.05 0.02 0 0
"153" 8 24.62 1 1 0.52 1.21 0.38 1 0
"154" 8 10.51 0 0 -1.36 0.44 0.32 0 0
"155" 8 26.44 1 1 0.47 0.56 1.93 1 1
"156" 8 -1.1 0 1 -0.36 0.39 0.71 0 1
"157" 8 0.01 0 0 -1.87 0.25 -0.82 0 0
"158" 8 15.95 1 0 0.1 -0.33 0.42 0 0
"159" 8 9.72 1 1 -0.7 1.48 0.62 1 1
"160" 8 17.22 1 0 -0.33 2.09 0.27 0 0
"161" 9 21.24 1 1 0.83 -0.13 -1.42 1 0
"162" 9 -3.81 0 0 0.96 -0.76 -0.35 1 0
"163" 9 6.52 0 0 0.34 -0.03 -0.2 1 0
"164" 9 3.15 0 0 0.49 1.35 -1.32 1 0
"165" 9 19.55 0 1 1.2 -0.47 0.57 0 0
"166" 9 28.37 1 1 -1 0.5 -2.2 0 1
"167" 9 9.1 1 0 1.36 1.57 0.96 0 0
"168" 9 40.4 1 1 1.47 -1.27 1.24 0 0
"169" 9 3.71 0 0 -0.63 -0.84 0.58 0 0
"170" 9 -3.02 1 0 0.29 0.52 -1.28 1 0
"171" 9 27.87 1 1 0.69 0.25 -0.85 0 0
"172" 9 -6.24 0 0 -0.61 -0.88 -0.5 0 0
"173" 9 -2.14 1 0 -1 -0.92 -0.47 1 0
"174" 9 -19.69 0 0 -0.22 0.04 -1.24 0 0
"175" 9 14.08 0 0 1.3 -0.65 -1.47 0 0
"176" 9 -11.27 1 0 1.3 -0.24 -0.22 0 0
"177" 9 18.13 0 0 0.44 0.42 -0.87 0 0
"178" 9 -9.75 0 0 -0.05 0.39 -1.69 0 0
"179" 9 11.82 0 0 -1.1 -0.57 1.55 0 0
"180" 9 26.5 0 1 -1.06 -1.57 -0.24 0 0
"181" 10 34.43 1 1 0.65 -1.06 -0.27 1 0
"182" 10 13.7 1 0 0.69 -2.53 -0.33 0 0
"183" 10 3.13 0 0 1.05 -0.41 0.28 1 0
"184" 10 -25.38 1 0 2.32 -0.44 -0.93 0 0
"185" 10 -6.81 1 0 -0.25 -0.38 -0.08 1 0
"186" 10 -15.03 0 0 0.97 -1.4 -0.1 0 0
"187" 10 28.27 1 1 -0.3 0.69 -1 0 0
"188" 10 38.49 0 1 1.15 -0.43 2.35 1 1
"189" 10 25.01 0 1 -1.45 1.36 -1.63 0 0
"190" 10 24.15 0 0 -1.49 0.38 0.49 0 0
"191" 10 27.86 0 1 0.07 1.17 0.07 1 1
"192" 10 -0.1 0 0 0.4 0.13 -1.35 0 0
"193" 10 15.24 0 0 -0.12 -0.88 -2.68 0 0
"194" 10 5.48 1 0 -2.27 -1.59 -0.22 0 0
"195" 10 33.83 1 1 -0.44 0.88 -0.38 0 1
"196" 10 17.24 0 1 -0.51 0.9 -0.76 1 0
"197" 10 20.64 1 0 0.16 -0.28 -0.01 1 0
"198" 10 23.89 0 1 -0.39 0.56 0.42 1 0
"199" 10 8.62 1 0 -2.24 0.4 -0.33 0 0
"200" 10 -15.49 0 0 0.13 -0.18 -1.8 0 0
"201" 11 -5.28 0 0 -0.05 0.55 -0.44 1 0
"202" 11 46.82 1 1 -0.15 0.19 -0.37 0 0
"203" 11 8.81 0 0 1.55 -0.28 -0.46 0 0
"204" 11 44.14 1 1 -0.82 -0.12 -0.78 0 0
"205" 11 7.73 1 0 0.91 0.21 -0.04 1 0
"206" 11 33.39 1 1 -0.68 -0.02 0.47 0 0
"207" 11 -16.79 1 0 -0.18 -0.34 -0.04 0 0
"208" 11 -5.16 1 0 0.09 -0.76 -0.05 0 0
"209" 11 25.24 0 1 1.29 0.84 -1.12 0 0
"210" 11 10.01 0 0 1.22 1.15 1.75 1 0
"211" 11 33.62 1 1 -0.14 1.02 0.36 0 0
"212" 11 -5.25 0 1 1.56 1.11 -0.71 0 0
"213" 11 48.7 1 1 -0.68 1.9 -0.6 0 0
"214" 11 47.37 0 1 0.43 -0.25 0.5 0 0
"215" 11 23.39 1 1 1.41 -0.72 -0.51 1 0
"216" 11 4.59 0 0 0.74 -0.08 -0.28 0 0
"217" 11 52.65 1 1 -1.39 0.3 1.91 0 0
"218" 11 52.03 1 1 -2.21 0.42 -0.02 0 0
"219" 11 -6.41 0 0 0.48 -0.23 -0.26 0 0
"220" 11 33.67 1 1 0.36 -0.56 -0.86 0 0
"221" 12 -3.73 1 1 3.17 -0.96 0.38 0 1
"222" 12 15.35 1 0 0.73 0.58 -0.55 1 0
"223" 12 -4.87 0 0 1.19 -1.86 -0.04 0 0
"224" 12 -13.81 1 1 1.59 1.38 -0.57 0 0
"225" 12 0 0 1 0.3 -0.07 -1.59 0 0
"226" 12 -3.5 0 0 0.91 -0.18 -0.15 0 0
"227" 12 18.4 0 0 -0.81 -0.4 1.4 0 0
"228" 12 -0.41 1 0 -1.28 0.07 -0.41 1 0
"229" 12 9.37 1 0 -0.13 -0.29 0.08 1 1
"230" 12 -2.23 0 1 0.18 -0.84 -0.14 1 1
"231" 12 24.73 0 0 1.47 0.59 0.69 0 0
"232" 12 14.21 0 0 0.43 0.12 0.6 0 0
"233" 12 13.66 0 0 0.47 -0.41 -0.84 0 0
"234" 12 5.13 0 0 -0.14 -1.87 -1.57 0 0
"235" 12 6.7 1 0 -2.13 0.44 -1.24 0 0
"236" 12 8.53 1 1 1.14 -0.63 0.84 1 0
"237" 12 -4.23 1 1 0.67 0.79 0.76 0 0
"238" 12 7.02 0 0 -0.51 0.69 0.96 0 0
"239" 12 -13.03 1 1 -0.64 1.11 0.2 1 0
"240" 12 13.9 0 0 0.56 0.83 1.82 0 0
"241" 13 33.23 1 0 -2.07 -2.28 0.38 0 0
"242" 13 -20.78 0 0 -0.42 0.67 -0.19 1 0
"243" 13 20.38 1 0 -0.88 0.34 1.5 0 0
"244" 13 32.37 1 1 -0.03 -0.66 -0.27 1 0
"245" 13 27.89 0 1 -0.75 0.25 0.34 0 0
"246" 13 39.7 0 1 0.66 0.71 0.47 0 0
"247" 13 45.12 0 1 -0.69 -1.35 0.03 1 0
"248" 13 3.8 0 0 1.09 -0.95 3.2 0 0
"249" 13 13.06 0 0 0.16 2.11 -0.3 0 0
"250" 13 3.08 0 0 -0.91 -0.94 -1.45 1 0
"251" 13 -9.67 1 0 -0.15 0.32 1.32 0 0
"252" 13 46.05 0 1 0.9 1.91 0.14 0 0
"253" 13 61.74 1 1 -2 1.62 -0.41 0 0
"254" 13 -3.12 0 0 0.31 1.21 -1.14 0 0
"255" 13 5.06 1 0 -0.76 -0.12 -0.22 0 0
"256" 13 48.18 0 1 -0.24 0.4 0.48 0 0
"257" 13 -5.26 0 0 -0.15 0.94 0.49 0 0
"258" 13 44.27 1 1 1.1 1.83 1.29 0 0
"259" 13 3.75 0 0 -1.25 -1.09 2.12 0 0
"260" 13 18.22 0 0 0.02 2.15 1.33 0 0
"261" 14 5.86 1 0 -0.34 0.21 0.37 1 0
"262" 14 39.07 1 1 0.69 -0.11 0.83 0 0
"263" 14 5.94 0 1 -0.48 -1.01 1.29 1 0
"264" 14 4.91 1 0 -1.09 -0.82 -1.1 1 0
"265" 14 -11.61 1 0 0.69 -0.95 0.68 0 0
"266" 14 -2.44 0 0 -0.61 0.04 0.86 1 0
"267" 14 30.57 0 1 1.59 1.02 0.78 1 0
"268" 14 21.25 1 1 0.43 -0.52 -0.3 0 0
"269" 14 39.23 0 1 0.14 1.06 0.3 0 0
"270" 14 -2.72 0 0 0.88 -0.16 0.94 1 0
"271" 14 10.28 1 0 -1.28 -1.19 1.61 0 0
"272" 14 12.46 0 0 0.34 -0.56 -1.02 0 0
"273" 14 6.25 0 0 -1.69 1.68 -0.51 0 0
"274" 14 2.17 1 0 -0.65 -1.56 -0.71 0 1
"275" 14 -9.01 1 0 -1.57 -0.04 0.02 0 1
"276" 14 16.39 0 0 0.36 -0.56 1.58 0 0
"277" 14 27.93 1 1 0.98 1.47 1.03 1 1
"278" 14 22.75 1 0 -1.23 2.99 0.53 1 0
"279" 14 28.81 0 1 -0.45 0.65 0.59 1 0
"280" 14 5.93 0 0 -0.47 -0.98 -0.28 0 0
"281" 15 8.74 1 0 -1.01 0.76 -0.46 1 1
"282" 15 -22.58 0 1 0.42 0.76 -0.57 1 0
"283" 15 11.74 0 0 0.26 -0.34 1.17 0 0
"284" 15 -15.77 0 0 -0.35 -0.4 0.11 0 0
"285" 15 -26.44 1 1 -1.49 -1.17 0.5 1 0
"286" 15 18.89 1 0 -0.55 0.69 1.56 1 0
"287" 15 6.44 0 0 -1.51 0.21 2.64 1 1
"288" 15 -6.8 0 1 -0.61 1.63 0.21 0 0
"289" 15 -25.95 1 1 -0.43 -1.08 0.44 0 0
"290" 15 -7.04 0 0 0.21 -0.92 0.27 0 0
"291" 15 -11.76 1 1 0.62 1.36 1.61 1 0
"292" 15 -8.16 0 0 -0.25 0.31 0.61 0 0
"293" 15 -18.39 1 1 0.2 1.05 0.39 0 0
"294" 15 -2.06 0 0 -1.85 0.77 0.03 0 0
"295" 15 6.98 0 0 -0.68 -1.03 0.75 0 0
"296" 15 0.08 0 0 -0.41 0.54 -0.62 0 0
"297" 15 -30.56 1 1 -0.51 -0.45 -0.13 0 0
"298" 15 5.36 0 0 -0.23 -0.06 2.66 1 0
"299" 15 2.09 1 0 -1.22 -0.77 0.27 0 0
"300" 15 -4.51 0 0 -0.54 0.49 1.4 1 0
"301" 16 6.97 1 1 0.5 -1.49 0.77 0 0
"302" 16 -3.01 1 0 -1.3 0.84 -0.8 1 0
"303" 16 4.94 1 0 0.2 -0.13 0.45 1 0
"304" 16 -13.44 0 0 -2.53 -0.94 0.43 0 1
"305" 16 7.11 1 1 0.17 -0.52 -0.98 0 0
"306" 16 -19.08 1 0 -2.58 -1.09 -0.62 0 0
"307" 16 5.38 0 0 -2.24 0.29 -0.62 0 0
"308" 16 -6.34 0 0 -1.16 -0.87 1.23 0 0
"309" 16 10.28 0 1 -0.49 0.83 -1.62 1 1
"310" 16 -6.39 0 0 -1.61 0.14 -0.45 0 0
"311" 16 6.18 0 0 -1.11 -0.99 -0.22 1 1
"312" 16 24.92 1 1 0.29 0.21 0.12 0 0
"313" 16 4.63 1 0 -0.8 -0.43 2.06 1 0
"314" 16 21.01 1 1 -0.19 -0.26 -1.03 0 0
"315" 16 -0.99 0 0 -1.21 -1.76 0.51 1 0
"316" 16 3.24 1 1 0.81 0.37 0.34 0 0
"317" 16 8.42 1 0 -1.93 0.57 -0.5 0 0
"318" 16 -11 0 0 -1.36 0.36 0.18 0 0
"319" 16 -1.57 1 0 -1.54 -0.46 -0.68 1 0
"320" 16 4.07 1 0 1.37 1.72 0.42 0 0
"321" 17 1.77 0 0 -1.15 0.56 1.12 0 0
"322" 17 19.29 0 1 1.95 -0.53 0.7 0 0
"323" 17 -11.63 0 1 -0.66 0.9 -1.41 0 0
"324" 17 22.02 0 0 0.84 0.76 -0.45 1 0
"325" 17 19.42 1 0 1.65 1.82 0.24 1 0
"326" 17 0.63 0 0 -1.38 0.3 -0.22 0 0
"327" 17 17.13 0 0 0.17 2.07 0.64 0 0
"328" 17 15.93 1 1 0.66 0.19 -0.96 1 1
"329" 17 -0.31 1 0 -1.79 -1.78 -0.19 1 1
"330" 17 -0.51 0 0 -0.21 0.2 -0.81 0 0
"331" 17 19.27 1 1 0.44 1.96 2.3 1 0
"332" 17 2.33 0 0 0.95 0.57 -0.14 1 0
"333" 17 12.12 0 0 1.19 -1.67 0.84 0 0
"334" 17 9.63 0 0 1.05 0.98 -0.27 0 0
"335" 17 19.45 0 1 -0.1 -0.86 1.3 0 0
"336" 17 15.22 0 1 -0.63 -0.01 0.42 1 0
"337" 17 6.38 0 1 -0.51 0.41 -0.1 1 1
"338" 17 -2.38 1 0 -1.54 -0.03 -0.34 0 0
"339" 17 24.72 0 0 -0.42 1.53 -0.11 1 0
"340" 17 4.91 1 0 0.71 -0.85 0.18 1 0
"341" 18 14.52 0 0 -0.01 -0.51 0.04 0 0
"342" 18 74.78 1 1 1.66 -1.18 -1.1 0 0
"343" 18 -12.99 1 0 -0.69 2.79 0.35 0 0
"344" 18 -21.22 1 0 -0.61 -1.44 1 0 1
"345" 18 80.97 1 1 2.81 -1.27 -0.92 0 0
"346" 18 -15.8 0 0 -0.13 -2.2 -0.15 0 0
"347" 18 68.87 0 1 0.64 -1.37 -1.57 0 0
"348" 18 -0.43 0 0 0.42 1.83 0.01 0 0
"349" 18 10.01 0 0 2.96 -0.9 -0.62 0 0
"350" 18 6.07 0 0 1.14 2.12 0.92 1 0
"351" 18 52.57 0 1 1.34 -1.75 -0.81 0 0
"352" 18 69.97 0 1 0.78 0.36 0.06 1 0
"353" 18 69.14 0 1 -0.12 -0.13 -1.69 0 0
"354" 18 74.95 1 1 1.34 -0.64 0.87 0 0
"355" 18 97.14 1 1 2.46 0.44 0.96 0 0
"356" 18 75.98 1 1 2.34 0.63 -0.37 1 0
"357" 18 -9.45 1 0 -1.37 -0.95 0.46 0 0
"358" 18 8.51 0 0 2.58 0.39 -0.09 0 0
"359" 18 -18.16 0 0 2.2 0.29 -3.78 0 0
"360" 18 71.09 1 1 -0.45 -0.76 -0.47 1 0
"361" 19 20.26 0 0 0.4 -0.4 -0.49 1 0
"362" 19 20.77 1 1 -0.72 -1.09 1.6 0 0
"363" 19 8.91 1 0 -0.4 -0.17 0.28 0 0
"364" 19 16.9 1 1 -0.1 0.36 -1.53 1 0
"365" 19 0.79 0 0 0.17 0.17 0.43 0 0
"366" 19 30.02 0 1 -0.47 -0.61 0.83 0 0
"367" 19 40.27 1 1 -1.52 -0.14 -0.14 0 0
"368" 19 4.77 1 0 -1.68 0.29 0.57 0 0
"369" 19 -4.91 0 0 0.77 0.79 -0.17 1 0
"370" 19 6.35 1 0 0.02 -1.14 -0.54 1 0
"371" 19 45.2 1 1 0.29 -1.41 1.17 0 0
"372" 19 35.96 0 1 0.55 -0.04 -1.92 0 0
"373" 19 26.29 0 0 -0.17 1.89 -1.74 0 0
"374" 19 30.09 1 1 0.07 -0.36 0.81 1 0
"375" 19 30.35 1 1 0.46 1.46 -1.18 0 0
"376" 19 15.46 1 0 0.56 0.34 -1.14 0 0
"377" 19 31.88 1 1 0.11 -0.81 -0.59 1 1
"378" 19 43.08 1 1 -0.58 -0.79 0.87 0 0
"379" 19 4.74 0 0 0.34 0.55 0.77 0 1
"380" 19 -21.12 1 0 0.13 0.27 0.25 0 0
"381" 20 7.04 0 0 -0.08 -1.21 -0.81 0 0
"382" 20 -13.03 1 0 -0.95 0.37 0.78 0 0
"383" 20 0.89 1 1 -1.04 1.63 0.27 1 0
"384" 20 -11.12 1 1 0.43 -0.48 -1.14 0 0
"385" 20 -9.86 0 0 0.54 0.22 -0.44 0 0
"386" 20 -10.4 0 1 0.32 -0.44 -0.89 1 0
"387" 20 -21.82 1 0 -0.96 2.03 -0.12 0 0
"388" 20 -14.45 1 0 -0.42 -0.63 -1.04 0 0
"389" 20 2.73 0 0 -0.26 0.93 0.82 0 1
"390" 20 15.12 0 0 -0.96 1.22 -0.33 0 0
"391" 20 12.94 1 1 0.08 0.1 1.24 0 0
"392" 20 18.95 0 1 0.32 -0.5 1.21 0 0
"393" 20 5.83 1 1 -0.05 0.15 -0.46 0 0
"394" 20 -19.05 0 0 -0.15 0.5 -0.07 1 0
"395" 20 -2.8 1 0 -2.94 -1.46 1.32 1 0
"396" 20 -3.41 0 0 -0.72 -0.49 0.85 0 0
"397" 20 8.09 1 1 -1 1.09 0.44 0 0
"398" 20 3.5 0 0 0.25 -0.04 -0.53 1 1
"399" 20 15.96 1 1 -0.64 3.98 -0.18 0 0
"400" 20 -1.02 0 1 3.22 -1.05 0.47 0 0
"401" 21 -0.24 1 0 0.05 0.43 -0.66 1 0
"402" 21 5.26 1 0 -0.23 -0.61 -1.44 0 0
"403" 21 45.14 1 1 1.08 -0.74 0.06 0 0
"404" 21 4.27 0 0 -1.19 -1.72 -0.04 0 0
"405" 21 16.96 1 0 0.27 0.9 -0.79 1 0
"406" 21 25.88 0 0 0.08 0.33 1.07 0 0
"407" 21 40.89 1 1 -0.65 -2.09 -0.06 1 0
"408" 21 46.47 1 1 1.77 -0.39 -0.45 0 0
"409" 21 13.08 1 0 1.82 0.2 0.63 0 0
"410" 21 -6.61 0 0 -0.21 -0.55 -0.45 1 0
"411" 21 45.14 1 1 1.99 -0.55 0.01 0 0
"412" 21 16.96 1 0 0.78 0.41 0.33 1 0
"413" 21 -1.26 0 0 -1.03 0.14 -0.56 0 0
"414" 21 27.85 0 1 0.26 -0.99 1.03 0 0
"415" 21 3.24 0 0 -1.66 0.5 -0.01 0 0
"416" 21 9.78 0 0 0.96 1.58 -0.97 0 0
"417" 21 50.05 1 1 0.76 1.19 -1.32 0 0
"418" 21 -1.5 0 0 0.53 -1.34 -0.14 1 0
"419" 21 33.41 1 1 0.88 -0.63 -0.69 1 0
"420" 21 8.48 0 0 0.38 0.09 -2.28 0 0
"421" 22 16.11 0 0 -1.44 0.21 -0.45 0 0
"422" 22 27.53 1 0 0.52 -0.8 -0.35 1 1
"423" 22 13.66 1 0 -0.02 -0.65 0.21 1 0
"424" 22 11.12 1 0 1.91 0.83 -0.49 0 0
"425" 22 -6.62 0 0 -0.74 1.04 -0.33 0 0
"426" 22 24.44 1 1 1.09 -0.37 -2.41 0 0
"427" 22 1.35 1 0 -1.21 -0.05 -0.51 1 1
"428" 22 30.46 1 1 2.43 -0.37 -1.79 0 0
"429" 22 0.85 0 0 -1.07 0.19 0.08 1 0
"430" 22 20.36 0 1 -0.32 -1.06 0.68 0 0
"431" 22 6.3 0 0 -0.93 -0.28 0.36 0 0
"432" 22 14.79 1 1 0.13 -0.44 -2.27 0 0
"433" 22 15.17 0 1 1.07 0.2 0.79 0 1
"434" 22 21.06 1 1 0.16 0.08 1.19 0 0
"435" 22 6.82 1 0 -0.62 -0.03 -0.71 1 1
"436" 22 4.17 0 0 0.55 1.17 -2.07 1 0
"437" 22 10.4 0 0 -0.42 0.33 1.27 0 0
"438" 22 -13.62 1 0 -0.2 -0.48 0.19 1 0
